Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
30.67,5,car,Illegal Parking,0.0
30.7,9,car,Illegal Parking,5.4
30.7,5,car,Illegal Parking,0.0
30.73,9,car,Illegal Parking,0.0
30.73,5,car,Illegal Parking,0.0
30.73,494,motorcycle,Over-Speeding,263.0
30.77,9,car,Illegal Parking,0.0
30.77,5,car,Illegal Parking,5.4
30.77,494,motorcycle,Over-Speeding,103.87
30.8,9,car,Illegal Parking,5.4
30.8,5,car,Illegal Parking,5.4
30.83,9,car,Illegal Parking,5.4
30.83,5,car,Illegal Parking,0.0
30.87,9,car,Illegal Parking,0.0
30.87,5,car,Illegal Parking,0.0
30.9,9,car,Illegal Parking,5.4
30.9,5,car,Illegal Parking,0.0
30.93,9,car,Illegal Parking,0.0
30.93,5,car,Illegal Parking,0.0
30.97,9,car,Illegal Parking,5.4
30.97,5,car,Illegal Parking,0.0
31.0,9,car,Illegal Parking,7.64
31.0,5,car,Illegal Parking,0.0
31.03,9,car,Illegal Parking,0.0
31.03,5,car,Illegal Parking,0.0
31.03,447,car,Illegal Parking,5.4
31.07,9,car,Illegal Parking,7.64
31.07,5,car,Illegal Parking,0.0
31.07,447,car,Illegal Parking,5.4
31.1,9,car,Illegal Parking,7.64
31.1,5,car,Illegal Parking,5.4
31.1,447,car,Illegal Parking,0.0
31.13,9,car,Illegal Parking,0.0
31.13,5,car,Illegal Parking,5.4
31.13,447,car,Illegal Parking,10.8
31.17,9,car,Illegal Parking,0.0
31.17,5,car,Illegal Parking,0.0
31.17,447,car,Illegal Parking,10.8
31.2,9,car,Illegal Parking,0.0
31.2,5,car,Illegal Parking,0.0
31.2,447,car,Illegal Parking,7.64
31.23,9,car,Illegal Parking,0.0
31.23,5,car,Illegal Parking,0.0
31.23,447,car,Illegal Parking,5.4
31.27,9,car,Illegal Parking,0.0
31.27,5,car,Illegal Parking,0.0
31.27,447,car,Illegal Parking,10.8
31.3,9,car,Illegal Parking,0.0
31.3,5,car,Illegal Parking,0.0
31.3,447,car,Illegal Parking,5.4
31.33,9,car,Illegal Parking,5.4
31.33,5,car,Illegal Parking,0.0
31.33,447,car,Illegal Parking,12.07
31.37,9,car,Illegal Parking,5.4
31.37,5,car,Illegal Parking,0.0
