Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
16.67,5,car,Illegal Parking,5.4
16.7,5,car,Illegal Parking,0.0
16.73,5,car,Illegal Parking,0.0
16.77,5,car,Illegal Parking,5.4
16.77,135,car,Over-Speeding,92.43
16.8,5,car,Illegal Parking,5.4
16.83,5,car,Illegal Parking,0.0
16.87,5,car,Illegal Parking,5.4
16.9,5,car,Illegal Parking,5.4
16.93,5,car,Illegal Parking,0.0
16.97,5,car,Illegal Parking,0.0
17.0,5,car,Illegal Parking,0.0
17.03,5,car,Illegal Parking,5.4
17.07,5,car,Illegal Parking,0.0
17.1,5,car,Illegal Parking,5.4
17.13,5,car,Illegal Parking,5.4
17.17,5,car,Illegal Parking,0.0
17.2,5,car,Illegal Parking,0.0
17.23,5,car,Illegal Parking,7.64
17.27,5,car,Illegal Parking,5.4
17.3,5,car,Illegal Parking,5.4
17.3,271,car,Over-Speeding,357.54
17.3,257,motorcycle,Over-Speeding,95.69
17.33,5,car,Illegal Parking,0.0
17.37,5,car,Illegal Parking,5.4
17.4,5,car,Illegal Parking,7.64
17.43,5,car,Illegal Parking,0.0
17.47,5,car,Illegal Parking,5.4
17.5,5,car,Illegal Parking,0.0
17.53,5,car,Illegal Parking,5.4
17.53,279,truck,Over-Speeding,172.29
17.53,257,motorcycle,Over-Speeding,150.62
17.57,5,car,Illegal Parking,0.0
17.6,5,car,Illegal Parking,0.0
17.63,5,car,Illegal Parking,0.0
17.67,5,car,Illegal Parking,5.4
17.7,5,car,Illegal Parking,5.4
17.73,5,car,Illegal Parking,0.0
17.73,281,bus,Over-Speeding,103.87
17.77,5,car,Illegal Parking,0.0
17.77,257,motorcycle,Over-Speeding,95.54
17.8,5,car,Illegal Parking,0.0
17.83,5,car,Illegal Parking,0.0
17.87,5,car,Illegal Parking,0.0
17.9,5,car,Illegal Parking,5.4
17.93,5,car,Illegal Parking,7.64
17.93,279,truck,Over-Speeding,157.44
17.93,229,car,Over-Speeding,130.72
17.97,5,car,Illegal Parking,0.0
18.0,5,car,Illegal Parking,0.0
18.03,5,car,Illegal Parking,5.4
18.03,254,bus,Over-Speeding,80.28
18.03,271,car,Over-Speeding,133.37
18.07,5,car,Illegal Parking,0.0
18.1,5,car,Illegal Parking,7.64
18.13,5,car,Illegal Parking,0.0
18.17,5,car,Illegal Parking,0.0
18.2,5,car,Illegal Parking,7.64
18.23,5,car,Illegal Parking,5.4
18.23,284,truck,Over-Speeding,207.81
18.27,5,car,Illegal Parking,5.4
18.27,229,car,Over-Speeding,210.88
18.3,5,car,Illegal Parking,0.0
18.3,291,car,Over-Speeding,82.25
18.33,5,car,Illegal Parking,7.64
18.37,5,car,Illegal Parking,0.0
18.4,5,car,Illegal Parking,7.64
18.4,266,car,Over-Speeding,106.37
18.43,5,car,Illegal Parking,7.64
18.47,5,car,Illegal Parking,7.64
18.5,5,car,Illegal Parking,5.4
18.53,5,car,Illegal Parking,0.0
18.57,5,car,Illegal Parking,0.0
18.6,5,car,Illegal Parking,0.0
18.63,5,car,Illegal Parking,0.0
18.63,254,bus,Over-Speeding,81.18
18.67,5,car,Illegal Parking,5.4
18.7,5,car,Illegal Parking,5.4
18.73,5,car,Illegal Parking,5.4
18.77,5,car,Illegal Parking,0.0
18.77,283,truck,Over-Speeding,144.09
18.8,5,car,Illegal Parking,0.0
18.83,5,car,Illegal Parking,5.4
18.87,5,car,Illegal Parking,7.64
18.9,5,car,Illegal Parking,5.4
18.9,284,car,Over-Speeding,178.77
18.93,5,car,Illegal Parking,5.4
18.97,5,car,Illegal Parking,0.0
19.0,5,car,Illegal Parking,0.0
19.03,5,car,Illegal Parking,0.0
19.07,5,car,Illegal Parking,0.0
19.1,5,car,Illegal Parking,0.0
19.13,5,car,Illegal Parking,0.0
19.17,5,car,Illegal Parking,5.4
19.17,283,truck,Over-Speeding,87.91
19.2,5,car,Illegal Parking,0.0
19.23,5,car,Illegal Parking,5.4
19.27,5,car,Illegal Parking,0.0
19.3,5,car,Illegal Parking,5.4
19.33,5,car,Illegal Parking,0.0
19.37,5,car,Illegal Parking,0.0
19.4,5,car,Illegal Parking,5.4
19.43,5,car,Illegal Parking,5.4
